Feature,Importance
customerID_2955-PSXOE,0.0002435849460033355
customerID_0639-TSIQW,0.00024259772437632292
customerID_8818-XYFCQ,0.0002423746846797298
customerID_4446-BZKHU,0.00024198268009345347
customerID_0021-IKXGC,0.00024192206178135357
customerID_2722-VOJQL,0.00024054870577568002
customerID_3030-YZADT,0.00024049660535945441
customerID_9863-JZAIC,0.00024001767228135616
customerID_7253-UVNDW,0.0002398261284840052
customerID_2897-DOVND,0.00023973069004517563
customerID_2207-OBZNX,0.00023921063596380056
customerID_3351-NQLDI,0.0002390835717324001
customerID_6173-ITPWD,0.00023735695941887622
customerID_1481-ZUWZA,0.0002370255892390481
customerID_9820-RMCQV,0.00023672006022840616
customerID_6386-SZZKH,0.0002361041391108252
customerID_3580-REOAC,0.00023604889675005812
customerID_4554-YGZIH,0.0002358909978337544
customerID_3192-NQECA,0.00023564569999265904
customerID_6849-OYAMU,0.0002356407736691103
customerID_2302-ANTDP,0.00023550746279225922
customerID_2684-EIWEO,0.00023540856649566184
customerID_3804-RVTGV,0.00023504575510445224
customerID_7577-SWIFR,0.00023380050635639593
customerID_4323-SADQS,0.00023359411342386522
customerID_7547-EKNFS,0.00023320869554368473
customerID_3489-HHPFY,0.00023261225797842133
customerID_4482-EWFMI,0.000232508192416695
customerID_4912-PIGUY,0.000232074715602079
customerID_2325-ZUSFD,0.0002320721420772278
customerID_4250-ZBWLV,0.00023167668504891684
customerID_1591-NFNLQ,0.00023151421268234813
customerID_4913-EHYUI,0.00023135037909572848
customerID_7931-PXHFC,0.00023089554812688172
customerID_3838-OZURD,0.00023072590394063012
customerID_4710-FDUIZ,0.0002304488707281631
customerID_8267-ZNYVZ,0.0002301787137496473
customerID_3512-IZIKN,0.00023002969852060982
customerID_2091-MJTFX,0.00022996673431734994
customerID_2995-UPRYS,0.0002296984035063024
customerID_6777-TGHTM,0.0002290280374983493
customerID_2077-MPJQO,0.00022885534039826072
customerID_2929-QNSRW,0.00022820607883033934
customerID_0596-BQCEQ,0.00022815179392813139
customerID_2873-ZLIWT,0.00022786574852222554
customerID_6518-LGAOV,0.00022770877399503508
customerID_9835-ZIITK,0.0002275400637036511
customerID_5013-SBUIH,0.00022743246017489142
customerID_3018-TFTSU,0.00022670938908588858
customerID_8901-HJXTF,0.00022639074687518177
customerID_7639-SUPCW,0.00022638960466433392
customerID_9445-SZLCH,0.0002256963240481031
customerID_9090-SGQXL,0.0002248587101718373
customerID_2748-MYRVK,0.00022465431402273037
customerID_6918-UMQCG,0.00022421580642518858
customerID_6179-GJPSO,0.00022408379651804873
customerID_4588-YBNIB,0.00022369246735259364
customerID_3927-NLNRY,0.00022358131909103467
customerID_4895-TMWIR,0.00022323915955025937
customerID_6630-UJZMY,0.00022305578812214364
customerID_2889-FPWRM,0.00022288270591988224
customerID_8722-NGNBH,0.00022251293721404383
customerID_0733-VUNUW,0.00022245053438673738
customerID_8161-QYMTT,0.00022240162915732054
customerID_6927-WTFIV,0.00022195283083827427
customerID_8914-RBTSB,0.00022177095310530495
customerID_8651-ENBZX,0.0002216206291799946
customerID_9254-RBFON,0.00022060224153794974
customerID_2403-BCASL,0.0002204447525066051
customerID_5294-CDGWY,0.00022038030974839206
customerID_2262-SLNVK,0.00022016931865876874
customerID_0687-ZVTHB,0.00022005933981316195
customerID_6646-QVXLR,0.00021984295846935262
customerID_2886-KEFUM,0.00021979691016944033
customerID_9614-RMGHA,0.0002196267564224041
customerID_0093-XWZFY,0.0002193126964189002
customerID_3763-GCZHZ,0.0002192714501111241
customerID_4897-QSUYC,0.00021917823744256972
customerID_5628-FCGYG,0.00021902849990208703
customerID_3370-HXOPH,0.00021857211632778483
customerID_4800-VHZKI,0.0002185388663688566
customerID_9139-WQQDY,0.000218381487020462
customerID_4770-UEZOX,0.00021833182945356797
customerID_3285-UCQVC,0.0002183103251181334
customerID_3058-HJCUY,0.00021828838232934702
customerID_0402-CQAJN,0.0002179657601140492
customerID_1349-WXNGG,0.00021768815535816633
customerID_3023-GFLBR,0.0002173152437112904
customerID_2311-QYMUQ,0.0002172674487275014
customerID_3313-QKNKB,0.00021720762420164002
customerID_4088-YLDSU,0.00021700524510608906
customerID_8035-BUYVG,0.00021638381503508408
customerID_4060-LDNLU,0.00021616981942569204
customerID_3803-KMQFW,0.00021565654105879295
customerID_6845-RGTYS,0.0002153987613509445
customerID_6077-BDPXA,0.00021525737904320836
customerID_9572-MTILT,0.00021513285081383623
customerID_7124-UGSUR,0.00021503475097929718
customerID_3424-NMNBO,0.00021484174875326288
customerID_9378-FXTIZ,0.00021418247061587054
customerID_2876-GZYZC,0.00021407629455626542
customerID_6969-MVBAI,0.0002139355891686461
customerID_7881-INRLC,0.00021360491189098045
customerID_3104-OWCGK,0.00021343775947491291
customerID_5136-KCKGI,0.00021341671110171608
customerID_9412-GHEEC,0.00021338476754709346
customerID_0866-QLSIR,0.00021304860512735
customerID_4404-HIBDJ,0.0002129412460410901
customerID_4190-MFLUW,0.00021265154519218736
customerID_0415-MOSGF,0.00021250584808880528
customerID_5150-ITWWB,0.0002122099091289512
customerID_8869-TORSS,0.00021218543020594402
customerID_0843-WTBXE,0.00021197462964793262
customerID_3714-JTVOV,0.00021164454908787625
customerID_7854-EDSSA,0.0002115580294176809
customerID_8257-RZAHR,0.00021144274674070855
customerID_8945-MUQUF,0.0002111967154339217
customerID_5356-RHIPP,0.00021040223940186085
customerID_3886-CERTZ,0.00021037088307468695
customerID_0407-BDJKB,0.00021022389037171757
customerID_0022-TCJCI,0.00020978566639699296
customerID_7752-XUSCI,0.00020978020427637973
customerID_3325-FUYCG,0.00020947178179355936
customerID_6641-XRPSU,0.00020940798993725543
customerID_8631-NBHFZ,0.0002092085724371768
customerID_7694-VLBWQ,0.00020914982472753678
customerID_5501-TVMGM,0.0002090782173422305
customerID_9318-NKNFC,0.00020874308477653828
customerID_6038-GCYEC,0.00020864950311146594
customerID_2632-UCGVD,0.00020831673203058876
customerID_9101-BWFSS,0.00020805455213846616
customerID_0979-PHULV,0.00020804219401583503
customerID_5288-AHOUP,0.00020777248368540784
customerID_6345-ULYRW,0.00020767011907128028
customerID_4640-UHDOS,0.0002075670557957176
customerID_3190-XFANI,0.00020753253558595877
customerID_2659-VXMWZ,0.00020745259452611918
customerID_1228-FZFRV,0.00020569187736353207
customerID_6034-ZRYCV,0.00020561138449381463
customerID_0807-ZABDG,0.00020551166236030735
customerID_1809-DMJHQ,0.0002052497173083166
customerID_8610-WFCJF,0.00020503898559927163
customerID_0628-CNQRM,0.00020502834223938435
customerID_2799-ARNLO,0.0002049592775931765
customerID_3945-GFWQL,0.00020486347072007631
customerID_4884-ZTHVF,0.00020475312959808043
customerID_4484-GLZOU,0.00020471632656074708
customerID_2533-QVMSK,0.00020458811068945593
